PVT_p	PVT_m(p)
4104.700000	752531427.940309
4114.700000	754694179.536214
4124.700000	756851151.716059
4134.700000	759005512.409085
4144.700000	761160448.330426
4154.700000	763313554.413249
4164.700000	765459998.667341
4174.700000	767607792.812245
4184.700000	769752911.316492
4194.700000	771895339.074013
4204.700000	774038290.794164
4214.700000	776175296.659708
4224.700000	778310382.718790
4234.700000	780445147.873273
4244.700000	782574728.681655
4254.700000	784705606.486970
4264.700000	786832883.828432
4274.700000	788958189.627520
4284.700000	791080688.836496
4294.700000	793200367.300075
4304.700000	795321314.030805
4314.700000	797435314.917367
4324.700000	799551400.773077
4334.700000	801660504.504645
4344.700000	803770848.329159
4354.700000	805878303.609878
4364.700000	807982856.808599
4374.700000	810085335.333471
4384.700000	812188195.993398
4394.700000	814285658.338798
4404.700000	816383487.928630
4414.700000	818478363.903602
4424.700000	820567797.935139
4434.700000	822657575.756354
4444.700000	824747696.765832
4454.700000	826832341.209656
4464.700000	828914829.525159
4474.700000	830997641.447606
4484.700000	833077427.979621
4494.700000	835155036.727039
4504.700000	837229598.388031
4514.700000	839301963.869441
4524.700000	841371260.899428
4534.700000	843441711.889709
4544.700000	845505709.042084
4554.700000	847570850.115941
4564.700000	849632888.672758
4574.700000	851692685.315624
4584.700000	853750232.875036
4594.700000	855808040.147412
4604.700000	857859316.608802
4614.700000	859911715.755952
4624.700000	861961839.268018
4634.700000	864008798.783297
4644.700000	866053465.957752
4654.700000	868099247.967227
4664.700000	870138428.017039
4674.700000	872178713.987993
4684.700000	874215796.465243
4694.700000	876250554.810701
4704.700000	878282982.529900
4714.700000	880315615.923702
4724.700000	882342470.633093
4734.700000	884370415.851481
4744.700000	886395111.780373
4754.700000	888417446.848838
4764.700000	890440868.783976
4774.700000	892457565.378034
4784.700000	894475340.878636
4794.700000	896490735.331282
4804.700000	898503742.741428
4814.700000	900513449.733907
4824.700000	902520755.073449
4834.700000	904529131.367783
4844.700000	906530707.842325
4854.700000	908534260.869670
4864.700000	910534481.759504
4874.700000	912535768.601190
4884.700000	914530217.850639
4894.700000	916526644.408973
4904.700000	918520634.899186
4914.700000	920511262.699926
4924.700000	922497595.875916
4934.700000	924485163.952829
4944.700000	926474717.819642
4954.700000	928453482.293262
4964.700000	930439972.510158
4974.700000	932415644.311783
4984.700000	934389761.435002
4994.700000	936365854.737851
5004.700000	938340397.591086
5014.700000	940313388.870525
5024.700000	942284827.476004
5034.700000	944245342.958847
5044.700000	946217208.173908
5054.700000	948174577.656839
5064.700000	950143326.919833
5074.700000	952101104.161066
5084.700000	954060864.236445
5094.700000	956015487.935946
5104.700000	957972098.975190
5114.700000	959917664.909778
5124.700000	961871114.046646
5134.700000	963822987.281097
5144.700000	965767354.966412
5154.700000	967710126.561441
5164.700000	969660834.104200
5174.700000	971600423.650239
5184.700000	973538415.028299
5194.700000	975478402.149376
5204.700000	977416795.856919
5214.700000	979344001.908542
5224.700000	981279194.809878
5234.700000	983212792.479881
5244.700000	985138774.238654
5254.700000	987059529.283819
5264.700000	988991932.279673
5274.700000	990916696.935569
5284.700000	992836230.502444
5294.700000	994757772.112435
5304.700000	996677703.008098
5314.700000	998596022.770702
5324.700000	1000503007.466418
5334.700000	1002418092.170541
5344.700000	1004325456.639402
5354.700000	1006240949.231621
5364.700000	1008145065.117888
5374.700000	1010047550.618189
5384.700000	1011952055.397609
5394.700000	1013854934.956726
5404.700000	1015756189.062643
5414.700000	1017655817.499748
5424.700000	1019553820.069566
5434.700000	1021453860.486452
5444.700000	1023342420.873444
5454.700000	1025239208.624789
5464.700000	1027124493.964551
5474.700000	1029018028.508937
