t	Reservoir_p	bhp	Reservoir_m(p)	Downhole_m(p)	Delta_m(p)
26894.000000	1073.990000	300.000000	937412362.450065	6715497.606019	930696864.844046
26958.000000	1072.180000	300.000000	937412362.450065	6715497.606019	930696864.844046
27022.000000	1070.380000	300.000000	937412362.450065	6715497.606019	930696864.844046
27086.000000	1068.580000	300.000000	937412362.450065	6715497.606019	930696864.844046
27150.000000	1066.790000	300.000000	937412362.450065	6715497.606019	930696864.844046
27214.000000	1065.010000	300.000000	937412362.450065	6715497.606019	930696864.844046
27278.000000	1063.230000	300.000000	937412362.450065	6715497.606019	930696864.844046
27342.000000	1061.460000	300.000000	937412362.450065	6715497.606019	930696864.844046
27406.000000	1059.690000	300.000000	937412362.450065	6715497.606019	930696864.844046
27470.000000	1057.930000	300.000000	937412362.450065	6715497.606019	930696864.844046
27534.000000	1056.180000	300.000000	937412362.450065	6715497.606019	930696864.844046
27598.000000	1054.430000	300.000000	937412362.450065	6715497.606019	930696864.844046
27662.000000	1052.690000	300.000000	937412362.450065	6715497.606019	930696864.844046
27726.000000	1050.960000	300.000000	937412362.450065	6715497.606019	930696864.844046
27790.000000	1049.230000	300.000000	937412362.450065	6715497.606019	930696864.844046
27854.000000	1047.510000	300.000000	937412362.450065	6715497.606019	930696864.844046
27918.000000	1045.790000	300.000000	937412362.450065	6715497.606019	930696864.844046
27982.000000	1044.080000	300.000000	937412362.450065	6715497.606019	930696864.844046
28046.000000	1042.380000	300.000000	937412362.450065	6715497.606019	930696864.844046
28110.000000	1040.680000	300.000000	937412362.450065	6715497.606019	930696864.844046
28174.000000	1038.990000	300.000000	937412362.450065	6715497.606019	930696864.844046
28238.000000	1037.300000	300.000000	937412362.450065	6715497.606019	930696864.844046
28302.000000	1035.620000	300.000000	937412362.450065	6715497.606019	930696864.844046
28366.000000	1033.940000	300.000000	937412362.450065	6715497.606019	930696864.844046
28430.000000	1032.270000	300.000000	937412362.450065	6715497.606019	930696864.844046
28494.000000	1030.610000	300.000000	937412362.450065	6715497.606019	930696864.844046
28558.000000	1028.950000	300.000000	937412362.450065	6715497.606019	930696864.844046
28622.000000	1027.300000	300.000000	937412362.450065	6715497.606019	930696864.844046
28686.000000	1025.650000	300.000000	937412362.450065	6715497.606019	930696864.844046
28750.000000	1024.010000	300.000000	937412362.450065	6715497.606019	930696864.844046
28814.000000	1022.370000	300.000000	937412362.450065	6715497.606019	930696864.844046
28878.000000	1020.740000	300.000000	937412362.450065	6715497.606019	930696864.844046
28942.000000	1019.110000	300.000000	937412362.450065	6715497.606019	930696864.844046
29006.000000	1017.500000	300.000000	937412362.450065	6715497.606019	930696864.844046
29070.000000	1015.880000	300.000000	937412362.450065	6715497.606019	930696864.844046
29134.000000	1014.270000	300.000000	937412362.450065	6715497.606019	930696864.844046
29200.000000	1012.620000	300.000000	937412362.450065	6715497.606019	930696864.844046
29264.000000	1011.020000	300.000000	937412362.450065	6715497.606019	930696864.844046
29328.000000	1009.430000	300.000000	937412362.450065	6715497.606019	930696864.844046
29392.000000	1007.840000	300.000000	937412362.450065	6715497.606019	930696864.844046
29456.000000	1006.260000	300.000000	937412362.450065	6715497.606019	930696864.844046
29520.000000	1004.680000	300.000000	937412362.450065	6715497.606019	930696864.844046
29584.000000	1003.110000	300.000000	937412362.450065	6715497.606019	930696864.844046
29648.000000	1001.550000	300.000000	937412362.450065	6715497.606019	930696864.844046
29712.000000	999.986000	300.000000	937412362.450065	6715497.606019	930696864.844046
29776.000000	998.430000	300.000000	937412362.450065	6715497.606019	930696864.844046
29840.000000	996.880000	300.000000	937412362.450065	6715497.606019	930696864.844046
29904.000000	995.335000	300.000000	937412362.450065	6715497.606019	930696864.844046
29968.000000	993.795000	300.000000	937412362.450065	6715497.606019	930696864.844046
30032.000000	992.260000	300.000000	937412362.450065	6715497.606019	930696864.844046
30096.000000	990.729000	300.000000	937412362.450065	6715497.606019	930696864.844046
30160.000000	989.204000	300.000000	937412362.450065	6715497.606019	930696864.844046
30224.000000	987.684000	300.000000	937412362.450065	6715497.606019	930696864.844046
30288.000000	986.169000	300.000000	937412362.450065	6715497.606019	930696864.844046
30352.000000	984.659000	300.000000	937412362.450065	6715497.606019	930696864.844046
30416.000000	983.154000	300.000000	937412362.450065	6715497.606019	930696864.844046
30480.000000	981.654000	300.000000	937412362.450065	6715497.606019	930696864.844046
30544.000000	980.159000	300.000000	937412362.450065	6715497.606019	930696864.844046
30608.000000	978.668000	300.000000	937412362.450065	6715497.606019	930696864.844046
30672.000000	977.183000	300.000000	937412362.450065	6715497.606019	930696864.844046
30736.000000	975.702000	300.000000	937412362.450065	6715497.606019	930696864.844046
30800.000000	974.226000	300.000000	937412362.450065	6715497.606019	930696864.844046
30864.000000	972.755000	300.000000	937412362.450065	6715497.606019	930696864.844046
30928.000000	971.288000	300.000000	937412362.450065	6715497.606019	930696864.844046
30992.000000	969.827000	300.000000	937412362.450065	6715497.606019	930696864.844046
31056.000000	968.370000	300.000000	937412362.450065	6715497.606019	930696864.844046
31120.000000	966.917000	300.000000	937412362.450065	6715497.606019	930696864.844046
31184.000000	965.470000	300.000000	937412362.450065	6715497.606019	930696864.844046
31248.000000	964.027000	300.000000	937412362.450065	6715497.606019	930696864.844046
31312.000000	962.589000	300.000000	937412362.450065	6715497.606019	930696864.844046
31376.000000	961.155000	300.000000	937412362.450065	6715497.606019	930696864.844046
31440.000000	959.726000	300.000000	937412362.450065	6715497.606019	930696864.844046
